TIME,GEO,"Double bed frame, pressboard (1 piece)",Sofa set (1 set),Kitchen table (1 piece) ,Pocket spring mattress (1 piece) ,Wardrobe (1 piece) ,Armchair (1 piece) 
2016,Romania,362.3526323,607.85,62.29,202.1397075,152.78,126.46
2016,Slovenia,410.98,926.0704178,233.7,231.22,181.6587187,164.0272375
2016,Slovakia,287.46,783.49,114.94,213.33,145.77,167.95
2016,Finland,523.5137744,1131.738969,159.2686908,292.0440251,222.0028273,200.4556167
2016,Sweden,573.9416156,1240.75454,174.6103621,320.175376,243.3874095,219.7646483
2016,United Kingdom,569.2627437,1230.639694,173.1869081,317.5652507,241.403273,217.9730887
2016,Iceland,682.5954178,1475.64376,207.6661281,380.7882869,289.463468,261.3686442
2016,Norway,606.6937187,1311.558468,184.5745404,338.4462535,257.2763649,232.3055657
2016,Switzerland,496.4802925,1073.297632,151.0442897,276.9633008,210.5389276,190.1043833
2016,Montenegro,330.1204039,713.6586351,100.4325905,184.158844,139.9918524,126.4044852
2016,North Macedonia,289.0503064,624.8727577,87.9378273,161.2477437,122.5755432,110.6785729
2016,Albania,347.7961421,751.8702786,105.8100836,194.0193175,147.4874791,133.1725994
2016,Serbia,320.2427855,692.3050696,97.42752089,178.6485794,135.8031198,122.6223038
2016,Turkey,204.48,1 360.55,103.2794986,126.2,143.9601253,129.9876045
2016,Bosnia and Herzegovina,302.0471727,652.9695543,91.8918663,168.4980919,128.0870334,115.6551274
2016,Kosovo (under United Nations Security Council Resolution 1244/99),310.8850418,672.075376,94.58061281,173.4283287,131.8348468,119.0391845
2017,European Union - 27 countries (from 2020),496.0232215,1072.30953,150.9052349,276.7083221,210.3451007,197.0715596
2017,European Union - 28 countries (2013-2020),501.033557,1083.14094,152.4295302,279.5033557,212.4697987,199.0621814
2017,European Union - 15 countries (1995-2004),514.5614631,1112.385745,156.5451275,287.0499463,218.2064832,204.4368603
